clonotype_id,Chain,heavy_percent_id
COV2-2064,Light,96.2
COV2-2684,Light,97.2
COV2-2072,Light,99.7
COV2-2539,Light,95.9
COV2-2389,Light,97.9
COV2-2532,Light,98.3
COV2-2096,Light,94.2
COV2-2759,Light,98.6
COV2-2240,Light,98.6
COV2-2413,Light,97.6
COV2-2416,Light,100
COV2-2399,Light,97.9
COV2-2756,Light,93
COV2-2819,Light,99
COV2-2381,Light,98.3
COV2-2628,Light,96.9
COV2-2353,Light,100
COV2-2589,Light,99.3
COV2-2693,Light,96.9
COV2-2762,Light,100
COV2-2080,Light,97.9
COV2-2527,Light,99.7
COV2-2618,Light,98
COV2-2531,Light,98.6
COV2-2919,Light,97.6
COV2-2037,Light,99.3
COV2-2780,Light,98.2
COV2-2710,Light,96.9
COV2-2243,Light,99
COV2-2694,Light,98
COV2-2826,Light,99
COV2-2813,Light,98.6
COV2-2796,Light,99.7
COV2-2812,Light,98.2
COV2-2941,Light,99.7
COV2-2479,Light,99.3
COV2-2809,Light,97.9
COV2-2891,Light,99.6
COV2-2370,Light,98.6
COV2-2137,Light,98.6
COV2-2631,Light,88.2
COV2-2768,Light,99.7
COV2-2434,Light,97.9
COV2-2832,Light,97.6
COV2-2955,Light,98.7
COV2-2499,Light,98.3
COV2-2751,Light,89.5
COV2-2835,Light,99.3
COV2-2268,Light,98.3
COV2-2760,Light,98.6
COV2-2245,Light,96.9
COV2-2418,Light,96.2
COV2-2378,Light,99
COV2-2574,Light,93.1
COV2-2697,Light,98.9
COV2-2488,Light,99.3
COV2-2368,Light,97.6
COV2-2496,Light,100
COV2-2400,Light,99.6
COV2-2445,Light,98.2
COV2-2584,Light,89.9
COV2-2473,Light,99
COV2-2586,Light,99
COV2-2369,Light,100
COV2-2427,Light,98.6
COV2-2262,Light,100
COV2-2660,Light,100
COV2-2054,Light,97.9
COV2-2700,Light,96
COV2-2386,Light,99.7
COV2-2521,Light,99
COV2-2675,Light,98.6
COV2-2942,Light,95.8
COV2-2621,Light,96
COV2-2300,Light,99
COV2-2570,Light,99.3
COV2-2373,Light,100
COV2-2872,Light,98.9
COV2-2035,Light,99
COV2-2383,Light,98.6
COV2-2454,Light,99
COV2-2676,Light,97.9
COV2-2934,Light,99.3
COV2-2549,Light,98.2
COV2-2428,Light,98.6
COV2-2545,Light,98.3
COV2-2624,Light,98.3
COV2-2784,Light,99.3
COV2-2944,Light,99.3
COV2-2031,Light,97.2
COV2-2329,Light,99.3
COV2-2783,Light,99.3
COV2-2894,Light,97.6
COV2-2794,Light,98.6
COV2-2709,Light,99.6
COV2-2736,Light,98.6
COV2-2382,Light,97.6
COV2-2465,Light,98.6
COV2-2705,Light,97.9
COV2-2713,Light,96.2
COV2-2848,Light,97.9
COV2-2678,Light,98.9
COV2-2722,Light,98
COV2-2258,Light,97.5
COV2-2753,Light,96.8
COV2-2797,Light,98.2
COV2-2032,Light,100
COV2-2740,Light,94.4
COV2-2287,Light,98.3
COV2-2514,Light,98.6
COV2-2717,Light,98.2
COV2-2417,Light,97.9
COV2-2015,Light,99.7
COV2-2461,Light,99.3
COV2-2873,Light,100
COV2-2953,Light,98.2
COV2-2828,Light,99.3
COV2-2554,Light,99.6
COV2-2552,Light,99.3
COV2-2906,Light,97.9
COV2-2007,Light,99.6
COV2-2450,Light,99.3
COV2-2342,Light,99.3
COV2-2256,Light,99.3
COV2-2834,Light,99
COV2-2128,Light,99.7
COV2-2055,Light,98.3
COV2-2016,Light,97.3
COV2-2632,Light,96.8
COV2-2730,Light,99.7
COV2-2039,Light,99
COV2-2518,Light,98.6
COV2-2939,Light,98.6
COV2-2807,Light,99
COV2-2585,Light,99.3
COV2-2110,Light,98.6
COV2-2355,Light,99.3
COV2-2822,Light,96.5
COV2-2733,Light,100
COV2-2841,Light,99.3
COV2-2789,Light,99
COV2-2352,Light,87.5
COV2-2801,Light,94.9
COV2-2253,Light,98.6
COV2-2945,Light,98.3
COV2-2103,Light,99
COV2-2354,Light,99.7
COV2-2842,Light,99
COV2-2821,Light,99
COV2-2357,Light,99.3
COV2-2464,Light,98.2
COV2-2808,Light,97.9
COV2-2863,Light,99
COV2-2462,Light,97.6
COV2-2313,Light,99.7
COV2-2516,Light,99.7
COV2-2817,Light,99.6
COV2-2758,Light,96.2
